nohup: les entrées sont ignorées

=== Batch indexation: 24611 tiles to process (24611 total pending) ===
    mode: EXECUTE

  [165/24611] tile (-45,81): 0 sites (0 new) — 77s elapsed, 2.2 tiles/s, ETA ~?s
  [166/24611] tile (-44,81): 0 sites (0 new) — 77s elapsed, 2.1 tiles/s, ETA ~?s
  [167/24611] tile (-43,81): 0 sites (0 new) — 78s elapsed, 2.2 tiles/s, ETA ~?s
  [168/24611] tile (-42,81): 0 sites (0 new) — 78s elapsed, 2.2 tiles/s, ETA ~?s
  [169/24611] tile (-41,81): 0 sites (0 new) — 78s elapsed, 2.2 tiles/s, ETA ~?s
  [170/24611] tile (-40,81): 0 sites (0 new) — 78s elapsed, 2.2 tiles/s, ETA ~?s
  [171/24611] tile (-39,81): 0 sites (0 new) — 79s elapsed, 2.2 tiles/s, ETA ~?s
  [172/24611] tile (-38,81): 0 sites (0 new) — 79s elapsed, 2.2 tiles/s, ETA ~?s
  [173/24611] tile (-37,81): 0 sites (0 new) — 79s elapsed, 2.2 tiles/s, ETA ~?s
  [174/24611] tile (-36,81): 0 sites (0 new) — 80s elapsed, 2.2 tiles/s, ETA ~?s
  [175/24611] tile (-35,81): 0 sites (0 new) — 80s elapsed, 2.2 tiles/s, ETA ~?s
  [176/24611] tile (-34,81): 0 sites (0 new) — 81s elapsed, 2.2 tiles/s, ETA ~?s
  [177/24611] tile (-33,81): 0 sites (0 new) — 81s elapsed, 2.2 tiles/s, ETA ~?s
  [178/24611] tile (-32,81): 0 sites (0 new) — 81s elapsed, 2.2 tiles/s, ETA ~?s
  [179/24611] tile (-31,81): 0 sites (0 new) — 82s elapsed, 2.2 tiles/s, ETA ~?s
  [180/24611] tile (-30,81): 0 sites (0 new) — 82s elapsed, 2.2 tiles/s, ETA ~?s
  [181/24611] tile (-29,81): 0 sites (0 new) — 83s elapsed, 2.2 tiles/s, ETA ~?s
  [182/24611] tile (-28,81): 0 sites (0 new) — 83s elapsed, 2.2 tiles/s, ETA ~?s
  [183/24611] tile (-27,81): 0 sites (0 new) — 83s elapsed, 2.2 tiles/s, ETA ~?s
  [184/24611] tile (-26,81): 0 sites (0 new) — 84s elapsed, 2.2 tiles/s, ETA ~?s
  [185/24611] tile (-25,81): 0 sites (0 new) — 84s elapsed, 2.2 tiles/s, ETA ~?s
  [186/24611] tile (-24,81): 0 sites (0 new) — 84s elapsed, 2.2 tiles/s, ETA ~?s
  [187/24611] tile (-23,81): 0 sites (0 new) — 85s elapsed, 2.2 tiles/s, ETA ~?s
  [188/24611] tile (-22,81): 0 sites (0 new) — 85s elapsed, 2.2 tiles/s, ETA ~?s
  [189/24611] tile (-21,81): 0 sites (0 new) — 85s elapsed, 2.2 tiles/s, ETA ~?s
  [190/24611] tile (-20,81): 0 sites (0 new) — 86s elapsed, 2.2 tiles/s, ETA ~?s
  [191/24611] tile (-19,81): 0 sites (0 new) — 87s elapsed, 2.2 tiles/s, ETA ~?s
  [192/24611] tile (-18,81): 0 sites (0 new) — 88s elapsed, 2.2 tiles/s, ETA ~?s
  [193/24611] tile (-17,81): 0 sites (0 new) — 88s elapsed, 2.2 tiles/s, ETA ~?s
  [194/24611] tile (-16,81): 0 sites (0 new) — 89s elapsed, 2.2 tiles/s, ETA ~?s
  [195/24611] tile (-15,81): 0 sites (0 new) — 89s elapsed, 2.2 tiles/s, ETA ~?s
  [196/24611] tile (-14,81): 0 sites (0 new) — 90s elapsed, 2.2 tiles/s, ETA ~?s
  [197/24611] tile (-13,81): 0 sites (0 new) — 90s elapsed, 2.2 tiles/s, ETA ~?s
  [198/24611] tile (49,81): 0 sites (0 new) — 90s elapsed, 2.2 tiles/s, ETA ~?s
  [199/24611] tile (50,81): 0 sites (0 new) — 91s elapsed, 2.2 tiles/s, ETA ~?s
  [200/24611] tile (93,81): 0 sites (0 new) — 92s elapsed, 2.2 tiles/s, ETA ~?s
  [201/24611] tile (94,81): 0 sites (0 new) — 92s elapsed, 2.2 tiles/s, ETA ~?s
  [202/24611] tile (95,81): 0 sites (0 new) — 93s elapsed, 2.2 tiles/s, ETA ~?s
  [203/24611] tile (96,81): 0 sites (0 new) — 93s elapsed, 2.2 tiles/s, ETA ~?s
  [204/24611] tile (97,81): 0 sites (0 new) — 94s elapsed, 2.2 tiles/s, ETA ~?s
  [205/24611] tile (-97,80): 0 sites (0 new) — 94s elapsed, 2.2 tiles/s, ETA ~?s
  [206/24611] tile (-96,80): 0 sites (0 new) — 95s elapsed, 2.2 tiles/s, ETA ~?s
  [207/24611] tile (-95,80): 0 sites (0 new) — 95s elapsed, 2.2 tiles/s, ETA ~?s
  [208/24611] tile (-94,80): 0 sites (0 new) — 95s elapsed, 2.2 tiles/s, ETA ~?s
  [209/24611] tile (-93,80): 0 sites (0 new) — 96s elapsed, 2.2 tiles/s, ETA ~?s
  [210/24611] tile (-92,80): 0 sites (0 new) — 96s elapsed, 2.2 tiles/s, ETA ~?s
  [211/24611] tile (-91,80): 0 sites (0 new) — 97s elapsed, 2.2 tiles/s, ETA ~?s
  [212/24611] tile (-90,80): 0 sites (0 new) — 98s elapsed, 2.2 tiles/s, ETA ~?s
  [213/24611] tile (-89,80): 0 sites (0 new) — 99s elapsed, 2.2 tiles/s, ETA ~?s
  [214/24611] tile (-88,80): 0 sites (0 new) — 99s elapsed, 2.2 tiles/s, ETA ~?s
  [215/24611] tile (-87,80): 0 sites (0 new) — 100s elapsed, 2.2 tiles/s, ETA ~?s
  [216/24611] tile (-86,80): 0 sites (0 new) — 101s elapsed, 2.1 tiles/s, ETA ~?s
  [217/24611] tile (-85,80): 0 sites (0 new) — 101s elapsed, 2.1 tiles/s, ETA ~?s
  [218/24611] tile (-84,80): 0 sites (0 new) — 101s elapsed, 2.1 tiles/s, ETA ~?s
  [219/24611] tile (-83,80): 0 sites (0 new) — 102s elapsed, 2.1 tiles/s, ETA ~?s
  [220/24611] tile (-82,80): 0 sites (0 new) — 103s elapsed, 2.1 tiles/s, ETA ~?s
  [221/24611] tile (-81,80): 0 sites (0 new) — 103s elapsed, 2.1 tiles/s, ETA ~?s
  [222/24611] tile (-80,80): 0 sites (0 new) — 104s elapsed, 2.1 tiles/s, ETA ~?s
  [223/24611] tile (-79,80): 0 sites (0 new) — 104s elapsed, 2.1 tiles/s, ETA ~?s
  [224/24611] tile (-78,80): 0 sites (0 new) — 105s elapsed, 2.1 tiles/s, ETA ~?s
  [225/24611] tile (-77,80): 0 sites (0 new) — 105s elapsed, 2.1 tiles/s, ETA ~?s
  [226/24611] tile (-76,80): 0 sites (0 new) — 105s elapsed, 2.1 tiles/s, ETA ~?s
  [227/24611] tile (-75,80): 0 sites (0 new) — 106s elapsed, 2.1 tiles/s, ETA ~?s
  [228/24611] tile (-74,80): 0 sites (0 new) — 106s elapsed, 2.2 tiles/s, ETA ~?s
  [229/24611] tile (-73,80): 0 sites (0 new) — 106s elapsed, 2.2 tiles/s, ETA ~?s
  [230/24611] tile (-72,80): 0 sites (0 new) — 107s elapsed, 2.2 tiles/s, ETA ~?s
  [231/24611] tile (-71,80): 0 sites (0 new) — 107s elapsed, 2.2 tiles/s, ETA ~?s
  [232/24611] tile (-70,80): 0 sites (0 new) — 108s elapsed, 2.2 tiles/s, ETA ~?s
  [233/24611] tile (-69,80): 0 sites (0 new) — 108s elapsed, 2.2 tiles/s, ETA ~?s
  [234/24611] tile (-68,80): 0 sites (0 new) — 108s elapsed, 2.2 tiles/s, ETA ~?s
  [235/24611] tile (-67,80): 0 sites (0 new) — 109s elapsed, 2.2 tiles/s, ETA ~?s
  [236/24611] tile (-66,80): 0 sites (0 new) — 109s elapsed, 2.2 tiles/s, ETA ~?s
  [237/24611] tile (-65,80): 0 sites (0 new) — 110s elapsed, 2.2 tiles/s, ETA ~?s
  [238/24611] tile (-64,80): 0 sites (0 new) — 110s elapsed, 2.2 tiles/s, ETA ~?s
  [239/24611] tile (-63,80): 0 sites (0 new) — 110s elapsed, 2.2 tiles/s, ETA ~?s
  [240/24611] tile (-62,80): 0 sites (0 new) — 111s elapsed, 2.2 tiles/s, ETA ~?s
  [241/24611] tile (-61,80): 0 sites (0 new) — 111s elapsed, 2.2 tiles/s, ETA ~?s
  [242/24611] tile (-60,80): 0 sites (0 new) — 111s elapsed, 2.2 tiles/s, ETA ~?s
  [243/24611] tile (-59,80): 0 sites (0 new) — 111s elapsed, 2.2 tiles/s, ETA ~?s
  [244/24611] tile (-58,80): 0 sites (0 new) — 112s elapsed, 2.2 tiles/s, ETA ~?s
